block_id,camp_id,blocked_ip,bot_country,bot_state,values,created_at,updated_at
2326051,333,66.102.8.74,US,California,1,"2024-05-24 11:16:53","2024-05-24 11:16:53"
2326052,333,74.125.212.40,US,California,1,"2024-05-24 11:16:56","2024-05-24 11:16:56"
2326182,333,2a09:bac2:30e:355::55:2d,AU,Queensland,1,"2024-05-24 12:04:41","2024-05-24 12:04:41"
2326225,333,2a02:26f7:e480:5704:0:17ff:7758:a3de,AU,Queensland,1,"2024-05-24 12:19:15","2024-05-24 12:19:15"
2326241,333,2a09:bac2:18e:105::1a:91,AU,"New South Wales",1,"2024-05-24 12:24:26","2024-05-24 12:24:26"
2326258,333,2a09:bac2:18e:105::1a:91,AU,"New South Wales",1,"2024-05-24 12:29:01","2024-05-24 12:29:01"
2326487,333,2a09:bac2:313:355::55:1d,AU,Queensland,1,"2024-05-24 13:58:37","2024-05-24 13:58:37"
2326490,333,2a09:bac2:313:355::55:1d,AU,Queensland,1,"2024-05-24 13:58:57","2024-05-24 13:58:57"
2326862,333,2a09:bac3:310:355::55:39,AU,Queensland,1,"2024-05-24 17:03:37","2024-05-24 17:03:37"
2326865,333,2a09:bac3:310:355::55:39,AU,Queensland,1,"2024-05-24 17:06:05","2024-05-24 17:06:05"
2327934,333,2a02:26f7:e480:4000:96ff:e830:86f7:9346,AU,Queensland,1,"2024-05-25 02:35:44","2024-05-25 02:35:44"
2328716,333,2a09:bac3:188:105::1a:df,AU,"New South Wales",1,"2024-05-25 10:22:45","2024-05-25 10:22:45"
2328736,333,2a09:bac2:368:355::55:1d,AU,Tasmania,1,"2024-05-25 10:31:34","2024-05-25 10:31:34"
2328758,333,192.178.8.2,US,California,1,"2024-05-25 10:43:14","2024-05-25 10:43:14"
2328759,333,192.178.8.1,US,California,1,"2024-05-25 10:43:16","2024-05-25 10:43:16"
2328760,333,192.178.8.1,US,California,1,"2024-05-25 10:43:16","2024-05-25 10:43:16"
2329063,333,203.30.15.24,AU,"New South Wales",1,"2024-05-25 13:03:19","2024-05-25 13:03:19"
2329136,333,192.178.8.7,US,California,1,"2024-05-25 13:40:50","2024-05-25 13:40:50"
2329137,333,192.178.8.6,US,California,1,"2024-05-25 13:40:52","2024-05-25 13:40:52"
2329138,333,192.178.8.6,US,California,1,"2024-05-25 13:40:52","2024-05-25 13:40:52"
2330851,333,131.242.134.197,AU,Queensland,1,"2024-05-26 03:28:42","2024-05-26 03:28:42"
2331521,333,2a09:bac2:18f:105::1a:e5,AU,"New South Wales",1,"2024-05-26 10:09:06","2024-05-26 10:09:06"
2331522,333,2a09:bac2:18f:105::1a:e5,AU,"New South Wales",1,"2024-05-26 10:09:14","2024-05-26 10:09:14"
2333744,333,116.50.58.180,AU,"New South Wales",1,"2024-05-26 22:57:48","2024-05-26 22:57:48"
2333981,333,165.228.7.86,AU,Queensland,1,"2024-05-27 02:43:41","2024-05-27 02:43:41"
2334035,333,49.255.144.168,AU,"New South Wales",1,"2024-05-27 03:25:26","2024-05-27 03:25:26"
2334056,333,49.255.144.168,AU,"New South Wales",1,"2024-05-27 03:52:22","2024-05-27 03:52:22"
2334065,333,165.225.232.171,AU,"New South Wales",1,"2024-05-27 04:01:10","2024-05-27 04:01:10"
2334070,333,3.25.150.50,AU,"New South Wales",1,"2024-05-27 04:05:18","2024-05-27 04:05:18"
2334183,333,120.151.21.113,AU,Queensland,1,"2024-05-27 05:31:20","2024-05-27 05:31:20"
2334248,333,60.242.192.46,AU,"New South Wales",1,"2024-05-27 05:58:46","2024-05-27 05:58:46"
2334258,333,54.153.228.19,AU,"New South Wales",1,"2024-05-27 06:02:24","2024-05-27 06:02:24"
2334293,333,61.68.19.150,AU,"New South Wales",1,"2024-05-27 06:14:38","2024-05-27 06:14:38"
2341278,333,2a02:26f7:e480:4000:fa9e:3f73:e41b:524f,AU,Queensland,1,"2024-05-29 10:01:45","2024-05-29 10:01:45"
2341353,333,2a02:26f7:e480:4000:5919:3af4:743b:8caf,AU,Queensland,1,"2024-05-29 10:28:16","2024-05-29 10:28:16"
